Цена(RUB),Цена(USD),Цена(BYN),Бренд,Дней,Откуда-куда,Когда,Длител1,Длител2,Ссылка,Время проверки,История цен(USD)
51412,666,2056,GulfAir,30,Москва-Бангкок,31окт-30ноя,15ч20м,14ч,https://www.aviasales.ru/search/MOW3110BKK30111 ,2023-05-13 12:23:16,666<-676<-690<-
51507,667,2060,GulfAir,29,Москва-Бангкок,31окт-29ноя,22ч10м,1д2ч05м,https://www.aviasales.ru/search/MOW3110BKK29111 ,2023-05-13 12:23:46,667<-
51412,666,2056,GulfAir,28,Москва-Бангкок,31окт-28ноя,15ч20м,19ч05м,https://www.aviasales.ru/search/MOW3110BKK28111 ,2023-05-13 12:24:13,666<-685<-690<-
51412,666,2056,GulfAir,27,Москва-Бангкок,31окт-27ноя,15ч20м,18ч35м,https://www.aviasales.ru/search/MOW3110BKK27111 ,2023-05-13 12:24:38,666<-676<-690<-
62460,809,2498,S7Airlines,30,Москва-Бангкок,1ноя-1дек,17ч50м,22ч35м,https://www.aviasales.ru/search/MOW0111BKK01121 ,2023-05-13 12:25:06,809<-823<-840<-
62460,809,2498,S7Airlines,29,Москва-Бангкок,1ноя-30ноя,17ч50м,1д3ч40м,https://www.aviasales.ru/search/MOW0111BKK30111 ,2023-05-13 12:25:35,809<-823<-840<-
57480,744,2299,S7Airlines,28,Москва-Бангкок,1ноя-29ноя,1д9ч,22ч35м,https://www.aviasales.ru/search/MOW0111BKK29111 ,2023-05-13 12:26:02,744<-757<-773<-
57480,744,2299,S7Airlines,27,Москва-Бангкок,1ноя-28ноя,1д9ч,1д3ч40м,https://www.aviasales.ru/search/MOW0111BKK28111 ,2023-05-13 12:26:30,744<-757<-773<-
62460,809,2498,S7Airlines,30,Москва-Бангкок,2ноя-2дек,14ч05м,22ч35м,https://www.aviasales.ru/search/MOW0211BKK02121 ,2023-05-13 12:26:58,809<-840<-
59212,767,2368,Аэрофлот,29,Москва-Бангкок,2ноя-1дек,1д4ч,20ч30м,https://www.aviasales.ru/search/MOW0211BKK01121 ,2023-05-13 12:27:27,767<-
57480,744,2299,S7Airlines,28,Москва-Бангкок,2ноя-30ноя,14ч05м,1д3ч40м,https://www.aviasales.ru/search/MOW0211BKK30111 ,2023-05-13 12:27:55,744<-757<-773<-
57480,744,2299,S7Airlines,27,Москва-Бангкок,2ноя-29ноя,14ч05м,22ч35м,https://www.aviasales.ru/search/MOW0211BKK29111 ,2023-05-13 12:28:20,744<-757<-773<-
62460,809,2498,S7Airlines,30,Москва-Бангкок,3ноя-3дек,14ч05м,22ч35м,https://www.aviasales.ru/search/MOW0311BKK03121 ,2023-05-13 12:28:49,809<-840<-
62460,809,2498,S7Airlines,29,Москва-Бангкок,3ноя-2дек,14ч05м,22ч35м,https://www.aviasales.ru/search/MOW0311BKK02121 ,2023-05-13 12:29:18,809<-840<-
57480,744,2299,S7Airlines,28,Москва-Бангкок,3ноя-1дек,14ч05м,22ч35м,https://www.aviasales.ru/search/MOW0311BKK01121 ,2023-05-13 12:29:47,744<-757<-773<-
57480,744,2299,S7Airlines,27,Москва-Бангкок,3ноя-30ноя,14ч05м,1д3ч40м,https://www.aviasales.ru/search/MOW0311BKK30111 ,2023-05-13 12:30:14,744<-757<-773<-
62460,809,2498,S7Airlines,30,Москва-Бангкок,4ноя-4дек,14ч05м,22ч35м,https://www.aviasales.ru/search/MOW0411BKK04121 ,2023-05-13 12:30:41,809<-823<-840<-
62460,809,2498,S7Airlines,29,Москва-Бангкок,4ноя-3дек,14ч05м,22ч35м,https://www.aviasales.ru/search/MOW0411BKK03121 ,2023-05-13 12:31:10,809<-823<-840<-
57480,744,2299,S7Airlines,28,Москва-Бангкок,4ноя-2дек,14ч05м,22ч35м,https://www.aviasales.ru/search/MOW0411BKK02121 ,2023-05-13 12:31:35,744<-757<-773<-
57480,744,2299,S7Airlines,27,Москва-Бангкок,4ноя-1дек,14ч05м,22ч35м,https://www.aviasales.ru/search/MOW0411BKK01121 ,2023-05-13 12:32:01,744<-757<-773<-
